,Nombre,Apellido Paterno,Apellido Materno,fecha,producto,P1,P2,P3,P4,P5
4047,René,Saucedo,Zelaya,2020-03-16,Producto X,4,4,4,-1,4
4048,Teodoro,Barajas,Chávez,2020-02-09,Producto X,3,4,5,5,5
4049,Angélica,Aranda,Robledo,2020-03-27,Producto X,5,2,5,5,4
4050,José,Samaniego,Nieto,2020-01-07,Producto X,5,5,5,4,5
4051,Margarita,Cadena,Curbelo,2020-01-25,Producto X,3,4,-1,5,-1
4052,Marilú,Lerma,Salazar,2020-02-29,Producto Y,4,3,4,3,5
4053,Frida,Ballesteros,Rodríquez,2020-03-31,Producto X,5,4,4,5,4
4054,Nicolás,Angulo,Armenta,2020-01-06,Producto Y,4,5,3,4,2
4055,Martí­n,Almonte,Miranda,2020-02-25,Producto X,4,4,5,4,5
4056,Efraim,Ramírez,Carrillo,2020-01-05,Producto X,5,4,-1,4,4
4057,Rolando,Nunes,Ontiveros,2020-04-13,Producto X,4,4,5,3,4
4058,Valentí­n,Garza,Varela,2020-01-12,Producto Y,5,4,2,4,4
4059,Amalia,Villareal,Morales,2020-02-29,Producto X,4,4,4,4,4
4060,Joaquí­n,Vásquez,Dorrego,2020-03-21,Producto X,4,5,4,5,4
4061,Gina,Nieves,Brito,2020-01-21,Producto X,4,4,5,5,4
4062,Esmeralda,Amador,Guerra,2020-01-29,Producto X,-1,5,4,5,5
4063,Calí­ope,Meléndez,Alvarado,2020-01-15,Producto X,5,5,5,5,4
4064,Alfonso,Palacios,Santana,2020-01-23,Producto X,3,4,5,-1,5
4065,Dulce,Figueroa,González,2020-02-11,Producto Y,-1,4,3,4,3
4066,Ernesto,Ortiz,Queiroz,2020-01-08,Producto Y,4,4,3,3,3
4067,Uma,De sousa,Calienes,2020-03-18,Producto X,5,3,5,5,5
4068,Dulce,Mena,Batista,2020-01-06,Producto X,-1,5,5,5,4
4069,Fortunata,Ruelas,Bétancourt,2020-02-18,Producto X,4,4,4,5,5
4070,Ada,Briseño,Molina,2020-02-21,Producto X,5,-1,5,4,4
4071,Florencia,Cortez,Holguín,2020-03-28,Producto X,5,5,4,5,4
4072,Esteban,Garay,Cavazos,2020-01-27,Producto X,5,5,4,5,3
4073,Iris,Delvalle,Dacunha,2020-02-11,Producto X,5,5,4,4,4
4074,Anastasia,Sierra,Soares,2020-01-07,Producto X,4,3,4,5,5
4075,Margarita,Dacunha,Cepeda,2020-01-29,Producto X,5,4,4,5,4
4076,Leo,Gracia,Camacho,2020-04-08,Producto X,4,4,5,5,-1
4077,Ana,Chichón,Lira,2020-02-08,Producto Y,3,5,4,4,3
4078,Cristal,Camacho,Patiño,2020-03-28,Producto X,4,3,4,4,-1
4079,Antonella,Leal,Almeida,2020-02-16,Producto X,5,5,5,4,5
4080,Maricela,Agosto,Sosa,2020-01-18,Producto X,5,5,5,3,5
4081,Tomás,Reséndez,Lucio,2020-02-13,Producto X,5,5,5,-1,4
4082,Florencia,Olivas,Torres,2020-01-07,Producto X,3,4,5,4,-1
4083,Zarina,Gaona,Noronha,2020-01-21,Producto X,5,5,5,5,5
4084,Reina,Lobo,Sotelo,2020-01-29,Producto X,5,5,4,4,-1
4085,Brisa,Pizarro,Espinal,2020-03-08,Producto X,5,-1,4,5,4
4086,Clorinda,Alcabes,Leandro,2020-02-08,Producto X,-1,5,5,5,5
4087,Dión,Véliz,Meraz,2020-02-10,Producto X,5,5,4,5,4
4088,Calí­ope,Batista,Rodrígez,2020-03-04,Producto X,-1,4,5,5,4
4089,Celestino,Saiz,Salinas,2020-04-14,Producto X,5,4,5,4,3
4090,Dulce,Santana,Ribeyro,2020-03-22,Producto X,5,5,5,-1,4
4091,Tomás,Atencio,Corona,2020-02-05,Producto X,2,4,3,4,4
4092,Efraim,Lovato,Alcántar,2020-02-21,Producto X,4,5,5,4,5
4093,Natalia,Cernades,Pelayo,2020-01-27,Producto X,4,5,5,5,4
4094,Tía,Alcabes,Espinal,2020-01-29,Producto X,5,3,3,5,5
4095,Gema,Ferreyra,Sauceda,2020-01-09,Producto X,4,5,5,4,5
4096,Calí­ope,Delgadillo,Balderas,2020-02-06,Producto X,5,4,5,-1,5
4097,Emanuel,Deleón,Sena,2020-01-30,Producto Y,5,4,2,4,-1
4098,Xavier,Villarreal,Esquibel,2020-03-25,Producto X,5,4,5,5,4
4099,Fortunata,León,Villalpando,2020-03-25,Producto X,-1,4,5,4,4
4100,Mercedes,Canales,Rodríquez,2020-04-10,Producto X,4,5,3,5,5
4101,Frida,Torres,Pérez,2020-02-19,Producto X,-1,-1,4,5,5
4102,Abril,Padrón,Sandoval,2020-03-08,Producto X,4,5,5,5,-1
4103,Malena,Báez,Barroso,2020-02-21,Producto Y,4,3,5,-1,4
4104,Alana,Arevalo,Guedes,2020-04-08,Producto X,4,5,3,5,5
4105,Gracia,Amaya,Da nobrega,2020-01-03,Producto X,5,3,5,5,3
4106,Luz,Ochoa,Tello,2020-01-22,Producto Y,-1,2,2,2,4
4107,Inés,Gallardo,Barroso,2020-03-03,Producto X,4,4,5,4,3
4108,Fe,Escobedo,Benítez,2020-04-11,Producto X,4,5,4,5,5
4109,Antonella,Montero,Pineda,2020-01-23,Producto X,3,-1,5,4,4
4110,Eduarda,Zelaya,Armenta,2020-02-18,Producto X,4,4,5,4,5
4111,Azalea,Salcedo,Urías,2020-03-08,Producto X,4,4,5,4,3
4112,Tomás,Cedillo,Manzanares,2020-03-18,Producto X,5,4,-1,5,-1
4113,Casandra,Abrego,Saucedo,2020-02-04,Producto X,4,5,5,5,-1
4114,Benjamí­n,Pereyra,Arredondo,2020-01-17,Producto Y,4,4,-1,5,3
4115,Brunela,Muro,Becerra,2020-04-06,Producto X,5,-1,4,5,5
4116,Isidora,Olivo,Valdez,2020-02-06,Producto Y,4,-1,3,4,4
4117,Abrán,Curbelo,Rendón,2020-03-14,Producto X,4,4,5,3,4
4118,Dalia,Oquendo,Macías,2020-01-22,Producto X,4,4,5,5,4
4119,Nina,Quintanilla,Sisneros,2020-03-19,Producto X,5,4,5,4,5
4120,Reina,Burgos,Rivera,2020-04-10,Producto X,5,4,4,4,5
4121,Valentina,Sandiga,Valdez,2020-01-19,Producto X,5,4,-1,4,5
4122,Margarita,Ocasio,Leal,2020-01-21,Producto Y,2,3,4,4,5
4123,Miriam,Tapia,Suárez,2020-02-05,Producto X,-1,5,5,4,4
4124,Fortunata,Gallegos,Arenas,2020-01-13,Producto X,5,4,-1,4,5
4125,Paz,Coronado,Dantas,2020-03-05,Producto X,5,5,4,5,5
4126,Brisa,Ríos,Gamboa,2020-01-30,Producto X,5,5,5,-1,5
4127,Raúl,Dasilva,Malave,2020-02-10,Producto X,5,-1,5,5,5
4128,Antonio,Lira,Longoria,2020-01-27,Producto X,5,-1,4,4,5
4129,Alejandrina,Gomes,Santana,2020-01-27,Producto Y,3,4,2,5,2
4130,Tatiana,De lima,Banda,2020-01-01,Producto X,5,5,5,5,5
4131,Candela,Botello,Méndez,2020-03-08,Producto X,5,-1,3,5,5
4132,Juliana,Bermúdez,Batista,2020-03-07,Producto X,5,-1,-1,5,5
4133,Esperanza,Tórrez,Vives,2020-01-03,Producto X,5,4,5,4,5
4134,Paulina,Aranda,Contreras,2020-01-01,Producto Y,4,-1,2,5,3
4135,Jennifer,Mora,Ybarra,2020-01-10,Producto X,4,4,5,4,4
4136,Catalina,Sauceda,López,2020-01-14,Producto X,5,-1,4,5,4
4137,Helena,Mejía,Miranda,2020-03-13,Producto X,5,4,4,5,5
4138,Lana,Salcido,Valencia,2020-03-14,Producto X,5,5,-1,3,5
4139,Abra,Coronado,Chapa,2020-02-08,Producto X,5,4,5,5,5
4140,Isidora,Zarate,Orta,2020-03-31,Producto X,4,4,5,5,3
4141,Rita,Arevalo,Barrera,2020-02-13,Producto X,5,4,5,5,3
4142,Marisol,Carrero,Zavala,2020-02-13,Producto Y,5,4,4,3,3
4143,Dana,Alcabes,Alcántar,2020-02-27,Producto Y,3,-1,2,3,2
4144,Luisa,Ribeiro,Regueiro,2020-03-07,Producto X,5,4,4,5,5
4145,Encarnición,Faura,Mello,2020-01-15,Producto Y,4,-1,4,3,3
4146,Dafne,Delarosa,León,2020-01-23,Producto X,5,4,5,5,5
4147,Graciana,Núñez,Collado,2020-02-15,Producto X,5,5,4,4,5
4148,Tatiana,Casares,Verduzco,2020-02-05,Producto X,5,3,-1,5,4
4149,Tía,Lozano,Rincón,2020-02-21,Producto X,4,5,3,5,5
4150,Gloria,Escalante,Pessoa,2020-02-05,Producto X,5,5,-1,4,4
4151,Octavio,Almeida,Faura,2020-02-04,Producto X,5,5,4,5,5
4152,Nicolás,Aguilera,Leiva,2020-01-13,Producto X,4,5,-1,-1,5
4153,Zacarí­as,Magaña,Toledo,2020-01-30,Producto X,5,-1,5,5,5
4154,Gladis,Pineda,Quintero,2020-01-06,Producto X,4,4,4,5,5
4155,Samantha,Quezada,Guimarey,2020-01-16,Producto Y,2,5,1,5,3
4156,Alejandra,Miramontes,Calvillo,2020-03-07,Producto X,5,5,5,4,4
4157,Sierra,Ureña,Valdés,2020-01-14,Producto X,5,4,5,5,5
4158,Raquel,Evangelista,Sotelo,2020-03-29,Producto X,5,5,5,4,4
4159,JasmÃ­n,Dorador,Esquivel,2020-04-12,Producto X,3,5,5,5,-1
4160,Thalia,Guillen,Alba,2020-01-06,Producto X,5,3,4,-1,5
4161,Marisol,Deleón,Alcala,2020-02-16,Producto X,5,-1,3,5,4
4162,Iris,Soares,Casillas,2020-02-06,Producto Y,2,1,1,-1,4
4163,Sebastián,Henríquez,Ribeyro,2020-02-05,Producto X,4,5,5,5,5
4164,Alexia,Barrera,Elizondo,2020-03-22,Producto X,5,5,4,4,1
4165,Evelina,Aponte,Anaya,2020-02-02,Producto X,5,4,5,-1,5
4166,Dafne,Mesa,Orosco,2020-03-19,Producto X,4,5,5,4,5
4167,Laura,Alicea,Valladares,2020-01-04,Producto X,3,3,5,4,-1
4168,Miguel,Castañeda,Prieto,2020-01-28,Producto X,-1,4,4,5,5
4169,Julián,Regalado,Melgar,2020-01-11,Producto X,5,5,-1,4,4
4170,Joana,Estévez,Monroy,2020-04-09,Producto X,4,4,5,4,4
4171,Marta,Serrato,Da souza,2020-02-09,Producto X,5,5,5,5,4
4172,Mateo,Acevedo,Pichardo,2020-02-06,Producto X,5,4,5,-1,4
4173,Samantha,Jasso,Guedes,2020-03-08,Producto X,5,5,4,5,4
4174,Arsenio,Núñez,Bermúdez,2020-01-27,Producto Y,1,4,4,4,2
4175,Aarón,Alcala,Melgar,2020-01-05,Producto X,5,5,4,5,5
4176,Dión,Saiz,Grijalva,2020-03-23,Producto X,-1,5,4,5,5
4177,Jacinto,Mora,Páez,2020-01-28,Producto X,4,5,5,5,5
4178,Antonella,Laboy,Rojas,2020-01-02,Producto X,5,5,5,-1,5
4179,Elí­as,Hernández,Posada,2020-01-25,Producto X,-1,4,5,5,5
4180,Mabel,Evangelista,Velásquez,2020-02-22,Producto X,5,3,5,5,-1
4181,Reina,Valle,Zapata,2020-02-14,Producto X,4,4,4,5,4
4182,Guadalupe,Rentería,Jáquez,2020-04-01,Producto X,4,4,4,5,5
4183,Carlota,Llamas,Barajas,2020-01-05,Producto X,5,5,4,5,5
4184,Manuel,Alcala,Duarte,2020-01-28,Producto X,5,4,5,4,5
4185,Dión,Vaca,Niño,2020-02-26,Producto X,4,4,5,4,-1
4186,Maya,Velasco,Paredes,2020-03-19,Producto X,5,3,4,3,5
4187,Mí­a,Montero,Santana,2020-02-05,Producto X,5,5,4,5,5
4188,Sergio,Corral,Roque,2020-01-19,Producto Y,-1,5,5,3,4
4189,Eduardo,Coimbra,Alva,2020-03-06,Producto X,5,5,5,5,4
4190,Octavia,Pantoja,Palacios,2020-03-24,Producto X,5,5,3,5,-1
4191,Emanuel,García,Santacruz,2020-03-21,Producto X,5,5,4,-1,5
4192,Lana,Leal,Barajas,2020-01-13,Producto X,-1,5,5,4,4
4193,Andrés,Queiroz,Córdova,2020-04-02,Producto X,5,5,3,4,5
4194,Ilana,Da fieno,Ledesma,2020-01-05,Producto Y,2,4,3,2,4
4195,Juana,Granado,Rosado,2020-01-24,Producto X,5,5,-1,5,5
4196,Guillermo,Ávila,Padua,2020-03-10,Producto X,4,5,5,4,5
4197,Vanesa,Rael,Cabán,2020-02-06,Producto X,5,5,5,5,-1
4198,Mabel,Mojica,Zayas,2020-02-18,Producto X,5,5,5,5,4
4199,Guillermo,Pires,Ruvalcaba,2020-03-02,Producto X,3,-1,5,5,3
4200,Avril,Cervántez,Amaral,2020-03-27,Producto X,4,4,4,4,5
4201,Sabrina,Reyna,Mondragón,2020-01-03,Producto X,5,5,4,-1,5
4202,Abigail,Soares,Torres,2020-02-16,Producto X,5,5,5,5,5
4203,Gisela,Vera,Ocasio,2020-03-10,Producto X,5,5,5,-1,5
4204,Aurora,Beltrán,Velásquez,2020-01-01,Producto X,4,-1,4,5,5
4205,Mí­a,Ferrer,Arreola,2020-04-02,Producto X,5,5,5,4,4
4206,Raúl,Toro,Crespo,2020-01-09,Producto X,5,5,4,5,5
4207,Segunda,Muñiz,Abregu,2020-02-20,Producto X,5,4,4,4,5
4208,Nadia,Abrego,Núñez,2020-01-14,Producto X,4,5,5,-1,5
4209,Malena,Manzanares,Moraes,2020-01-04,Producto Y,3,5,4,4,3
4210,Dora,Lozada,Carrero,2020-01-21,Producto Y,4,-1,4,4,4
4211,Abigail,Portuguez,Melo,2020-02-05,Producto X,5,3,4,4,5
4212,Gerardo,Faria,Peres,2020-04-10,Producto X,5,5,4,4,5
4213,Alison,Da ponte,Alanis,2020-03-19,Producto X,4,5,4,4,4
4214,Roberta,Hernádez,Alonzo,2020-01-26,Producto X,5,5,5,5,5
4215,Wendy,Campos,Fierro,2020-04-06,Producto X,-1,4,4,4,4
4216,Ilana,Burgos,Montoya,2020-01-15,Producto X,5,4,5,4,4
4217,Fidel,Montez,Mondragón,2020-02-14,Producto X,4,4,4,5,5
4218,Diógenes,Armas,Tejeda,2020-01-28,Producto X,5,5,4,4,5
4219,Milagros,Garrido,Pinheiro,2020-03-15,Producto X,5,4,5,5,4
4220,Lana,Crespo,Almanza,2020-01-15,Producto X,3,4,3,5,5
4221,Isaac,Zapata,Guevara,2020-01-22,Producto X,5,5,5,3,5
4222,Gianina,Chavarría,Vega,2020-04-11,Producto X,-1,4,5,4,5
4223,Diana,Sena,Piña,2020-03-29,Producto X,4,5,4,4,5
4224,Santiago,Álvarez,Aparicio,2020-04-10,Producto X,5,5,3,5,4
4225,Lisa,Pulido,Munguía,2020-01-16,Producto X,4,5,5,5,4
4226,Agustina,Castillo,Bétancourt,2020-01-22,Producto X,5,4,4,5,-1
4227,JasmÃ­n,Franco,Carrera,2020-04-02,Producto X,5,4,4,4,5
4228,Mariangeles,Navarro,Arguello,2020-01-22,Producto X,5,5,-1,4,4
4229,Rebeca,Saavedra,Verduzco,2020-02-15,Producto X,5,-1,5,5,2
4230,Tía,Nunes,Fernández,2020-03-09,Producto X,4,5,4,5,4
4231,Déborah,Domingues,Veiga,2020-03-17,Producto X,4,5,-1,5,-1
4232,Ana,Arevalo,Paz,2020-02-03,Producto X,4,4,5,4,5
4233,Inés,Quiñones,Patiño,2020-01-03,Producto X,-1,4,5,4,3
4234,Fabio,Castañeda,Baes,2020-01-18,Producto X,5,5,4,5,5
4235,Manuela,Montez,Altamirano,2020-04-04,Producto X,4,5,4,4,5
4236,Gracia,Carreón,Lencastre,2020-03-25,Producto X,-1,5,5,4,5
4237,Joana,Patiño,Jaramillo,2020-02-27,Producto X,-1,4,4,5,4
4238,Roque,Bardales,Rivero,2020-01-10,Producto X,5,5,5,4,-1
4239,Angélica,Valentín,Jurado,2020-02-18,Producto X,5,5,4,4,4
4240,Aurora,Carbajal,Alanis,2020-02-13,Producto X,3,4,4,5,5
4241,Gladis,Noriega,De oliveira,2020-04-09,Producto X,-1,5,5,5,5
4242,Regina,Peres,Esquibel,2020-02-13,Producto X,5,4,5,5,4
4243,Zacarí­as,Sousa,Quintana,2020-01-28,Producto X,4,5,4,4,4
4244,Felipe,Soria,Cardenas,2020-01-07,Producto Y,4,4,4,2,-1
4245,Trinidad,Venegas,Quintero,2020-04-14,Producto X,5,5,3,5,5
4246,Leandra,Fernandes,Mata,2020-01-08,Producto X,4,4,-1,5,5
4247,Silvestre,Valdés,Escalante,2020-01-03,Producto Y,3,1,3,3,3
4248,Alfonso,Oporto,Griego,2020-03-21,Producto X,3,4,5,4,5
4249,Claudio,Girón,Arellano,2020-01-25,Producto X,5,5,-1,5,5
4250,Rosa,Neves,Anguiano,2020-03-19,Producto X,4,3,3,4,5
4251,Marianela,Colunga,Barrientos,2020-01-01,Producto X,5,5,5,4,-1
4252,Linda,Navarro,Leiva,2020-03-18,Producto X,-1,-1,5,5,3
4253,Ximena,Saavedra,Osorio,2020-02-23,Producto X,5,5,5,4,-1
4254,Ángelo,Águilar,Nieto,2020-03-12,Producto X,4,5,-1,4,5
4255,Bárbara,Soliz,Coelho,2020-02-27,Producto Y,3,4,4,1,5
4256,David,Zepeda,Reyna,2020-02-29,Producto X,5,5,4,3,4
4257,Stefano,Fuentes,Carrasco,2020-01-17,Producto X,4,5,3,5,5
4258,Gabriela,Matías,Castellanos,2020-02-13,Producto X,4,5,5,5,5
4259,Dalia,Montenegro,PiÑeiro,2020-03-24,Producto X,5,5,5,-1,5
4260,Maricela,Maestas,Báez,2020-04-12,Producto X,5,4,5,5,5
4261,Alma,Almeida,Carrasquillo,2020-01-31,Producto X,5,5,4,5,5
4262,Violeta,Olmos,Almanza,2020-03-26,Producto X,3,4,4,5,5
4263,Pamela,Sepúlveda,Zavala,2020-03-18,Producto X,5,4,5,4,5
4264,Encarnición,Rubio,Vera,2020-02-29,Producto X,5,5,5,5,4
4265,Juana,Olivas,Partida,2020-02-09,Producto X,4,4,-1,4,4
4266,Paloma,Negrón,Rubio,2020-03-14,Producto X,5,5,5,5,3
4267,Lucas,Bravo,Pichardo,2020-01-22,Producto X,5,4,-1,-1,5
4268,Azalea,Alcala,Junior,2020-01-16,Producto Y,5,2,5,5,5
4269,Socorro,Gómez,Maestas,2020-03-20,Producto X,3,3,4,4,3
4270,Catarina,Echevarría,Villegas,2020-03-30,Producto X,5,-1,-1,5,4
4271,Dión,Alcántar,Reyna,2020-03-07,Producto X,5,4,5,4,5
4272,Luperco,Mercado,León,2020-03-23,Producto X,4,5,5,4,4
4273,Lidia,Delacrúz,Mondragón,2020-01-27,Producto X,5,5,5,4,4
4274,Andrés,Ontiveros,Núñez,2020-03-08,Producto X,3,4,5,5,4
4275,Paloma,Luján,Maqueira,2020-02-16,Producto X,5,5,5,5,4
4276,Enrique,Padilla,Rangel,2020-02-07,Producto X,4,5,5,-1,4
4277,Estrella,Mesa,Borrego,2020-03-11,Producto X,4,5,3,5,5
4278,Jéssica,Tafoya,Arteaga,2020-03-17,Producto X,5,5,5,5,-1
4279,Gisela,De sousa,Cervantes,2020-02-08,Producto X,-1,5,5,5,5
4280,Emanuel,Rojo,Velasco,2020-03-27,Producto X,5,5,5,5,4
4281,Luis,Abrego,Mourao,2020-01-02,Producto X,4,5,4,4,5
4282,Segunda,Muñoz,Pelaes,2020-01-12,Producto X,5,5,5,-1,4
4283,Teresa,Olivares,Melo,2020-01-27,Producto X,5,4,4,5,-1
4284,Bibiana,Cosinga,Santacruz,2020-02-01,Producto X,5,5,5,4,4
4285,Casia,Neves,Torres,2020-01-23,Producto Y,-1,2,3,4,3
4286,Frida,Varela,Prieto,2020-02-01,Producto X,5,5,5,5,4
4287,Set,Adames,Collado,2020-01-30,Producto Y,4,2,3,-1,3
4288,Uma,Serrato,Saucedo,2020-03-17,Producto X,-1,5,5,5,5
4289,Cristina,Pereira,Arevalo,2020-01-22,Producto Y,2,5,5,2,2
4290,Anastacio,Meraz,Rascón,2020-01-12,Producto X,4,5,5,4,5
4291,Emanuel,Manzanares,Barragán,2020-02-13,Producto X,5,4,5,5,5
4292,Abra,Fuentes,Chavarría,2020-02-18,Producto X,5,3,4,5,5
4293,Emanuel,Montez,Macías,2020-02-17,Producto Y,4,5,3,-1,3
4294,Xavier,Rivas,Vélez,2020-02-01,Producto X,5,4,4,5,-1
4295,Rigoberto,Alburqueque,Lozano,2020-02-18,Producto X,3,5,-1,4,5
4296,Alison,Pomar,Arteaga,2020-01-25,Producto X,5,3,4,4,3
4297,Brisa,Iglesias,Hernádez,2020-03-31,Producto X,5,4,4,5,5
4298,Inés,De sousa,Do santos,2020-02-27,Producto X,5,5,5,4,5
4299,Analí­a,Valle,Valles,2020-01-28,Producto Y,-1,-1,2,4,5
4300,Antonio,Cardona,Aponte,2020-01-01,Producto Y,4,5,3,5,3
4301,Alejandro,Leyva,Rivera,2020-01-10,Producto X,-1,3,4,5,3
4302,Mí­a,Pizarro,Correa,2020-01-24,Producto X,5,5,-1,5,4
4303,Leandra,Alicea,Montalvo,2020-03-26,Producto X,5,-1,5,5,-1
4304,Isaí­as,Loera,Valadez,2020-01-04,Producto X,4,4,5,4,5
4305,Yvonne,Oliveyra,Nieves,2020-01-06,Producto X,4,3,5,5,4
4306,Adriana,Llamas,Montez,2020-02-16,Producto Y,3,4,3,2,5
4307,Lisa,Quiñónez,Mideros,2020-01-10,Producto X,4,4,5,5,4
4308,Violeta,Gálvez,Marín,2020-01-24,Producto X,3,5,5,4,-1
4309,Diana,Narváez,Zarate,2020-03-25,Producto X,-1,5,5,5,4
4310,Irene,Meza,Tamayo,2020-04-10,Producto X,4,5,-1,4,5
4311,Desirée,Valentín,Cazares,2020-03-05,Producto X,5,4,5,-1,5
4312,Uma,Ceballos,Espinal,2020-01-31,Producto X,5,5,-1,5,5
4313,Clorinda,Soto,Dorador,2020-03-21,Producto X,4,5,3,4,5
4314,Noé,Pacheco,Evangelista,2020-02-15,Producto X,5,-1,4,4,5
4315,Fiona,Valdivia,Figueroa,2020-03-13,Producto X,5,5,5,4,-1
4316,Sonia,Sosa,Palomino,2020-02-22,Producto X,-1,5,4,5,4
4317,Amara,Portugal,Salinas,2020-03-25,Producto X,4,5,4,5,5
4318,Jennifer,Veiga,Márquez,2020-03-16,Producto X,4,5,-1,5,5
4319,Felipe,Moraes,Collado,2020-03-02,Producto X,4,5,3,4,5
4320,Gisela,Duarte,Saldivar,2020-01-20,Producto Y,4,-1,3,3,5
4321,Alexia,Becerra,Luevano,2020-01-03,Producto Y,2,2,3,3,3
4322,Helena,Valenca,Delao,2020-01-11,Producto X,5,5,4,-1,5
4323,Esmeralda,Delgado,Cordero,2020-04-05,Producto X,5,5,4,5,-1
4324,Clorinda,Nieto,Matías,2020-01-24,Producto X,-1,4,5,5,5
4325,Natalia,Becerra,Montez,2020-03-03,Producto X,4,4,5,5,4
4326,Sol,Nores,Lemus,2020-01-19,Producto X,5,5,4,4,5
4327,Mabel,Mondragón,Álvarez,2020-01-31,Producto X,5,4,3,5,5
4328,Libertad,Rojas,Barela,2020-03-14,Producto X,4,5,5,4,5
4329,Bibiana,Ayala,Nores,2020-01-09,Producto X,5,4,5,4,4
4330,Verónica,Armas,Uribe,2020-02-19,Producto X,5,4,5,5,5
4331,JasmÃ­n,Alburqueque,Colunga,2020-02-12,Producto X,4,4,3,5,5
4332,Yolanda,Esparza,Peralta,2020-03-03,Producto X,-1,4,-1,4,5
4333,Zoe,Carreón,Longoria,2020-01-20,Producto X,5,5,-1,5,5
4334,Liliana,Calienes,Concepción,2020-03-27,Producto X,4,4,5,5,5
4335,Serena,Abregu,Sandiga,2020-03-10,Producto X,4,5,5,5,4
4336,Nataniel,Da silva,Orosco,2020-01-01,Producto X,5,-1,-1,5,5
4337,Jorge,Casillas,Vásquez,2020-02-07,Producto X,5,5,3,3,3
4338,Mariana,Gamez,Vaca,2020-02-20,Producto X,4,5,5,5,-1
4339,Adoración,Treviño,Vega,2020-02-10,Producto X,5,3,4,5,5
4340,Wendy,Coronado,Laureano,2020-04-11,Producto X,3,2,4,5,5
4341,Fernando,Acevedo,Apodaca,2020-02-10,Producto X,-1,5,5,-1,4
4342,Carla,Casal,Escalante,2020-01-29,Producto X,5,5,5,5,4
4343,Ana,Rendón,Tejeda,2020-03-05,Producto X,5,5,5,5,5
4344,Belén,Ríos,Da ros,2020-02-24,Producto Y,4,2,5,4,4
4345,Candelaria,Minauro,Armijo,2020-01-01,Producto X,4,5,5,5,5
4346,Dafne,Espino,Curbelo,2020-01-30,Producto X,-1,4,5,4,5
4347,Julián,Salgado,Evangelista,2020-02-22,Producto Y,3,3,4,4,2
4348,Renee,Sáenz,Calvillo,2020-02-20,Producto X,5,-1,5,5,5
4349,Amanda,Sepúlveda,Cotto,2020-04-04,Producto X,5,5,5,5,5
4350,Marina,Bueno,Abeyta,2020-01-07,Producto X,5,5,4,4,4
4351,Bella,Corral,Guajardo,2020-04-09,Producto X,5,5,-1,4,5
4352,Efrain,De oliveira,Melgar,2020-02-10,Producto X,4,4,-1,3,4
4353,Tiara,Macías,Mideros,2020-01-25,Producto X,4,5,4,4,5
4354,Casandra,Orellana,Cosinga,2020-02-17,Producto X,-1,5,4,-1,-1
4355,Joana,Soares,Cadena,2020-03-02,Producto X,-1,4,5,-1,3
4356,Rigoberto,Alemán,Holguín,2020-01-13,Producto X,5,-1,5,-1,5
4357,Brita,Jiménez,Calvillo,2020-04-10,Producto X,5,5,4,5,5
4358,Brita,Castillo,Da ponte,2020-01-20,Producto X,5,3,5,5,4
4359,Violeta,Gaitán,Mayorga,2020-02-12,Producto X,5,4,-1,4,4
4360,Gianina,Pereira,Da costa,2020-02-23,Producto X,4,5,4,5,5
4361,Gisela,Mata,Peres,2020-01-23,Producto X,5,-1,5,5,-1
4362,Margarita,Rascón,Águilar,2020-02-28,Producto X,5,4,5,5,3
4363,Perla,Mireles,Galindo,2020-03-04,Producto X,5,5,5,5,4
4364,Jesús,Chapa,Galindo,2020-03-06,Producto X,4,4,5,5,5
4365,Nina,De lima,Barrera,2020-02-27,Producto Y,5,3,4,3,4
4366,Fidel,Sandiga,Mideros,2020-02-07,Producto X,5,4,-1,3,5
4367,Noé,Pagan,Roldán,2020-01-23,Producto Y,1,3,4,4,4
4368,Bianca,Dávila,González,2020-01-04,Producto Y,5,2,4,3,3
4369,Patricia,Segovia,Abreu,2020-01-15,Producto X,2,3,3,3,4
4370,Zarina,Mora,Leal,2020-01-27,Producto Y,3,5,4,-1,3
4371,Vicente,Villarreal,Palacios,2020-02-27,Producto X,5,5,5,4,5
4372,Xavier,Ledesma,Guillen,2020-01-24,Producto X,5,5,4,5,5
4373,Raquel,Henríquez,Nájera,2020-01-31,Producto X,3,5,5,5,5
4374,Ramón,Corral,Veiga,2020-04-05,Producto X,5,5,2,5,5
4375,Maximiliano,Angobaldo,Garibay,2020-02-22,Producto X,3,5,4,-1,5
4376,Martí­n,Maya,Peralta,2020-01-07,Producto X,4,-1,4,5,4
4377,Catarina,Magallanes,Cervantes,2020-02-15,Producto X,5,4,5,5,5
4378,Olivia,Anaya,Leandro,2020-03-10,Producto X,4,4,4,5,5
4379,Eliseo,Lovato,De lima,2020-02-01,Producto X,5,5,5,5,4
4380,Ivana,Tejeda,De oliveira,2020-01-10,Producto X,4,5,5,5,4
4381,Antonella,Murillo,Santillán,2020-01-16,Producto X,5,5,5,5,-1
4382,Esteban,Venegas,Casal,2020-01-31,Producto X,-1,5,5,4,5
4383,Gracia,Pinheiro,Sotelo,2020-01-31,Producto X,5,5,5,5,4
4384,Azalea,Santana,Martos,2020-01-11,Producto X,5,5,5,5,5
4385,Paulina,Carranza,Loera,2020-02-28,Producto X,4,4,-1,5,5
4386,Gisela,Quintanilla,Olivera,2020-02-24,Producto X,4,5,5,5,5
